127.0.0.1 - - [21/Apr/2023:18:00:46 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:46 +0200] "GET /proyecto/pagina_principal.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:46 +0200] "GET /proyecto/img/caballo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:46 +0200] "GET /proyecto/pagina_principal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:46 +0200] "GET /proyecto/img/IMG-20210726-WA0004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:46 +0200] "GET /proyecto/pagina_principal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:46 +0200] "GET /proyecto/img/IMG-20210821-WA0038.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:46 +0200] "GET /proyecto/img/IMG-20210726-WA0005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:46 +0200] "GET /proyecto/img/IMG-20210901-WA0008.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:46 +0200] "GET /proyecto/img/Screenshot_20220601-110802_Instagram.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:54 +0200] "GET /proyecto/pagina_principal.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:54 +0200] "GET /proyecto/pagina_principal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:54 +0200] "GET /proyecto/pagina_principal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:54 +0200] "GET /proyecto/img/caballo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:54 +0200] "GET /proyecto/img/IMG-20210726-WA0004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:54 +0200] "GET /proyecto/img/IMG-20210726-WA0005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:54 +0200] "GET /proyecto/img/IMG-20210821-WA0038.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:54 +0200] "GET /proyecto/img/IMG-20210901-WA0008.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:54 +0200] "GET /proyecto/img/Screenshot_20220601-110802_Instagram.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:55 +0200] "GET /proyecto/pagina_principal.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [21/Apr/2023:18:00:55 +0200] "GET /favicon.ico HTTP/1.1" 404 698
