127.0.0.1 - - [03/May/2023:16:42:03 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:04 +0200] "GET /proyecto/pagina_principal.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:04 +0200] "GET /proyecto/pagina_principal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:04 +0200] "GET /proyecto/img/caballo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:04 +0200] "GET /proyecto/img/IMG-20210726-WA0004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:04 +0200] "GET /proyecto/pagina_principal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:04 +0200] "GET /proyecto/img/IMG-20210821-WA0038.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:04 +0200] "GET /proyecto/img/IMG-20210901-WA0008.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:04 +0200] "GET /proyecto/img/Screenshot_20220601-110802_Instagram.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:04 +0200] "GET /proyecto/img/IMG-20210726-WA0005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:09 +0200] "GET /proyecto/pagina_principal.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:09 +0200] "GET /proyecto/pagina_principal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:09 +0200] "GET /proyecto/img/caballo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:09 +0200] "GET /proyecto/pagina_principal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:09 +0200] "GET /proyecto/img/IMG-20210726-WA0004.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:09 +0200] "GET /proyecto/img/IMG-20210726-WA0005.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:09 +0200] "GET /proyecto/img/IMG-20210821-WA0038.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:09 +0200] "GET /proyecto/img/IMG-20210901-WA0008.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:09 +0200] "GET /proyecto/img/Screenshot_20220601-110802_Instagram.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:09 +0200] "GET /proyecto/pagina_principal.jsp HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:10 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:12 +0200] "GET /proyecto/pagina_caballos.jsp HTTP/1.1" 200 4616
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:12 +0200] "GET /proyecto/1.js HTTP/1.1" 404 704
0:0:0:0:0:0:0:1 - - [03/May/2023:16:42:12 +0200] "GET /proyecto/pagina_caballos.css HTTP/1.1" 200 11810
